,,,,,,,,,,,,Impact mechanisms on species,,,,,,,,,Impact mechanisms on ecosystem function,,,
List_id,Rank,Species,Subgroup,Common Name,Taxonomic Group,Functional Group,Pathway,Origin,Bioregions threatened,Already present in EU?,Overall Risk,Competition,Predation,Hybridization,Disease Transmission,Parasitism,Poisoning/Toxicity,Bio-fouling,Grazing/herbivory/browsing,Interactions with other IAS,Nutrient cycling,Physical modification of habitat,Natural succession,Disruption to food webs
59,HIGH,Psittacula eupatria,Vertebrates,Alexandrine parakeet,Birds,Herb,"Nat, Pet, BZA",AT,"ATL, MED",Y,350,X,,,X,,,,X,X,,,,X
60,HIGH,Bison bison,Vertebrates,European bison,,Herb,"H, Cons",NAm,CON,N,337.5,,,,,,,,,,,,,
61,HIGH,Chromolaena odorata,Plants,,Vascular plant,Primary prod,"Soil, timb, wood, pp",Sam,"MAC, MED",N?,320,X,,,X,,,,,,,X,X,
62,HIGH,Cryptostegia grandiflora,Plants,,Vascular plant,Primary prod,Hort,Sam,"MAC, ATL, MED",N?,320,X,,,,,X,X,,,,X,X,
63,HIGH,Hemidactylus frenatus,Vertebrates,House gecko,,Pred,Pet Container,Aus,"ATL, MED, CON",N,320,,,,,,,,,,,,,
64,HIGH,Trichosurus vulpecula,Vertebrates,Brushtail Possum,,Omni,Pet Orn,Aus,"ATL, MED, CON, MAC",N,303.75,,,,,,,,,,,,,
65,HIGH,Albizia lebbeck,Plants,Indian Siris,Fabaceae,Primary prod,"Hort, For",AT,"MAC, ATL, MED",N,300,X,,,,,,,,,X,X,X,
66,HIGH,Fundulus heteroclitus,Freshwater,mummichog,Fish,Omni,"R, Pet",NAm,"MAC, MED, ATL, CON, STE",Y,293.3333333,X,,,,,,,,,,,,
67,HIGH,Eleutherodactylus planirostris,Vertebrates,greenhouse frog,,Pred,"Pet, Container",NAm,"MED, MAC",N,288,,,,,,,,,,,,,
68,HIGH,Rhinella marina,Vertebrates,Cane toad,Amphibians,Omni,"Pet, Other, TT, THM, BC",SAm,"MED, MAC",N,280,X,X,,,,X,,,X,X,,,X
69,HIGH,Boiga irregularis,Vertebrates,brown tree snake,Reptiles,Pred,"Pet, Other, BZA, Container, Ship, Air",,"MED, MAC",N,280,X,X,,,,X,,,X,,,,X
70,HIGH,Misgurnus anguillicaudatus,Freshwater,Oriental weatherfish,Fish,Omni,"R, Pet",AT,"MAC, MED, ATL, CON, STE",Y,276.6666667,X,X,,,,,,X,,,,,X
71,HIGH,Eleutherodactylus coqui,Vertebrates,common coquí,,Pred,,,"MED, MAC",N,252,,,,,,,,,,,,,
72,HIGH,Cyprinella lutrensis,Freshwater,red shiner,Fish,Omni,"R, Pet",NAm,"MAC, MED, ATL, CON, STE",Y,227.3333333,X,X,X,X,,,,,,,,,X
73,HIGH,Morone americana,Freshwater,white perch,Fish,Pred,Aq,NAm,"MAC, MED, ATL, CON, STE",N,221.3333333,,X,,X,,,,,,,,,X
74,HIGH,Hypostomus plecostomus,Freshwater,suckermouth catfish,Fish,Herb,"R, Pet",Sam,"MAC, MED",Y,215,X,,,,,,,X,,X,X,,X
75,HIGH,Pseudoneris anomala,Marine,a polychaete,,Omni,,"WIP, CIP","MED, MAC",Y,210,,,,,,,,,,,,,
76,HIGH,Cherax destructor,Freshwater,Common yabby,Crustacean,Omni,"F, Aq, Live, BZA, Pet",Aus,"MED, ATL, CON, STE",Y,200,X,X,,X,,,,X,X,X,X,,X
77,HIGH,Tilapia zillii,Freshwater,redbelly tilapia,Fish,Omni,"R, Pet, Aq",Afr,"MAC, MED",Y,195.3333333,X,X,,,,,,X,,,,,X
78,HIGH,Acanthophora spicifera,Marine,a red alga,,Primary Prod,"Hull,Ballast",TrWA,"MED, MAC",N,192,,,,,,,,,,,,,
